#Wave,F444W
#micron,el/phot
2.280274385999999875e+00,7.982742513035609671e-07
2.281882477999999992e+00,8.271105478447971228e-07
2.283490570000000108e+00,8.583823893708138435e-07
2.285098661999999781e+00,8.931526386678330830e-07
2.286706752999999814e+00,9.341246206220448298e-07
2.288314844999999931e+00,9.814496287419687450e-07
2.289922936999999603e+00,1.038163556698121176e-06
2.291531029000000164e+00,1.105517034677254937e-06
2.293139121000000280e+00,1.185204666007494849e-06
2.294747212999999952e+00,1.279879261881445635e-06
2.296355305000000069e+00,1.391301606024923336e-06
2.297963397000000185e+00,1.520843331228131031e-06
2.299571488999999858e+00,1.673776778200349982e-06
2.301179580999999974e+00,1.846886455124953395e-06
2.302787672999999646e+00,2.049413551231560963e-06
2.304395765000000207e+00,2.286365415944363223e-06
2.306003857000000323e+00,2.565596400161041413e-06
2.307611948999999996e+00,2.899317254218379112e-06
2.309220041000000112e+00,3.293577032113649603e-06
2.310828132999999784e+00,3.773003448610037295e-06
2.312436224999999901e+00,4.360254365125326091e-06
2.314044317000000017e+00,5.072254023218875321e-06
2.315652408999999690e+00,5.971306320691303356e-06
2.317260501000000250e+00,7.084857865439833364e-06
2.318868591999999840e+00,8.432801906731030831e-06
2.320476684000000400e+00,1.004871821161864589e-05
2.322084776000000073e+00,1.190359508320748739e-05
2.323692868000000189e+00,1.397416864660616298e-05
2.325300959999999861e+00,1.615727596589042330e-05
2.326909051999999978e+00,1.843361161435380226e-05
2.328517144000000094e+00,2.072934459564270825e-05
2.330125235999999767e+00,2.302706615243987117e-05
2.331733327999999883e+00,2.534909728918926519e-05
2.333341419999999999e+00,2.761460930486969164e-05
2.334949512000000116e+00,2.981323179555756843e-05
2.336557604000000232e+00,3.176992769167964682e-05
2.338165695999999905e+00,3.348295448547853150e-05
2.339773788000000021e+00,3.478602531046573432e-05
2.341381879999999693e+00,3.569557993678711312e-05
2.342989971999999810e+00,3.625688613352785620e-05
2.344598063999999926e+00,3.650903186720964855e-05
2.346206156000000043e+00,3.660844668702128730e-05
2.347814248000000159e+00,3.664927900094542174e-05
2.349422340000000275e+00,3.675174956664813142e-05
2.351030431000000309e+00,3.697280229921985531e-05
2.352638522999999982e+00,3.732278900705685959e-05
2.354246615000000098e+00,3.789547645602919394e-05
2.355854706999999770e+00,3.863438088269686554e-05
2.357462798999999887e+00,3.959914641203748741e-05
2.359070891000000003e+00,4.067054374182814224e-05
2.360678982999999675e+00,4.196530025075616516e-05
2.362287075000000236e+00,4.328581066944455370e-05
2.363895166999999908e+00,4.467334792477576559e-05
2.365503259000000025e+00,4.598820567796852007e-05
2.367111351000000141e+00,4.718603080339049682e-05
2.368719442999999814e+00,4.823328373885418655e-05
2.370327534999999930e+00,4.901906147521996066e-05
2.371935627000000046e+00,4.951870608178944767e-05
2.373543718999999719e+00,4.974407662541673568e-05
2.375151811000000279e+00,4.954109036386950958e-05
2.376759902999999952e+00,4.913338810804760413e-05
2.378367995000000068e+00,4.867189004760883863e-05
2.379976087000000184e+00,4.822085492550732286e-05
2.381584178999999857e+00,4.784964386745666094e-05
2.383192270999999973e+00,4.747583212119736154e-05
2.384800362000000007e+00,4.715166885607252048e-05
2.386408453999999679e+00,4.687920008258271388e-05
2.388016545999999796e+00,4.668679728237923619e-05
2.389624637999999912e+00,4.647337965429240649e-05
2.391232730000000029e+00,4.629834438669035141e-05
2.392840822000000145e+00,4.616544485139008867e-05
2.394448914000000261e+00,4.609703034094804551e-05
2.396057005999999934e+00,4.607555884351546496e-05
2.397665098000000050e+00,4.606476454237912448e-05
2.399273189999999722e+00,4.609171171287694980e-05
2.400881281999999839e+00,4.611034571054012799e-05
2.402489374000000399e+00,4.610170635483430820e-05
2.404097466000000072e+00,4.606404483921333403e-05
2.405705558000000188e+00,4.594376567994458167e-05
2.407313649999999861e+00,4.573306654161544288e-05
2.408921741999999977e+00,4.544106854117253499e-05
2.410529834000000093e+00,4.514886558020350974e-05
2.412137925999999766e+00,4.485676408850928690e-05
2.413746017999999882e+00,4.459944371687540095e-05
2.415354109999999999e+00,4.442048134495649950e-05
2.416962201000000032e+00,4.431856888446653021e-05
2.418570293000000149e+00,4.431118516638062440e-05
2.420178385000000265e+00,4.438053340425217628e-05
2.421786476999999937e+00,4.456885658293426012e-05
2.423394569000000054e+00,4.469395548002924427e-05
2.425002661000000170e+00,4.475560621720005620e-05
2.426610752999999843e+00,4.475620419185389882e-05
2.428218844999999959e+00,4.465754495005803655e-05
2.429826936999999631e+00,4.446018061754114422e-05
2.431435029000000192e+00,4.419633803573226746e-05
2.433043121000000308e+00,4.395942676694925748e-05
2.434651212999999981e+00,4.374935503958229195e-05
2.436259305000000097e+00,4.359834674790279575e-05
2.437867396999999769e+00,4.353332246392022196e-05
2.439475488999999886e+00,4.355673930073219297e-05
2.441083581000000002e+00,4.368409765403164099e-05
2.442691672999999675e+00,4.391341750674274472e-05
2.444299765000000235e+00,4.424173671719260721e-05
2.445907857000000352e+00,4.457685219825476176e-05
2.447515949000000024e+00,4.485452729030189721e-05
2.449124040000000058e+00,4.509892694827958887e-05
2.450732132000000174e+00,4.527744650904188536e-05
2.452340223999999846e+00,4.537885613656092161e-05
2.453948315999999963e+00,4.540167388876828887e-05
2.455556408000000079e+00,4.537757137833758414e-05
2.457164499999999752e+00,4.532732092398165897e-05
2.458772591999999868e+00,4.526959171877996152e-05
2.460380683999999984e+00,4.523670717033911773e-05
2.461988776000000101e+00,4.522435722065087243e-05
2.463596868000000217e+00,4.525655145593967068e-05
2.465204959999999890e+00,4.537636649885523816e-05
2.466813052000000006e+00,4.559391220377693348e-05
2.468421144000000123e+00,4.588675665118662633e-05
2.470029235999999795e+00,4.625493201249099577e-05
2.471637327999999911e+00,4.671509820625832708e-05
2.473245420000000028e+00,4.727217483520209252e-05
2.474853512000000144e+00,4.793023942770221633e-05
2.476461604000000261e+00,4.861896888211989355e-05
2.478069695999999933e+00,4.936055968951534362e-05
2.479677788000000049e+00,5.005090109009753416e-05
2.481285879000000083e+00,5.063321525463327873e-05
2.482893970999999755e+00,5.110214594020633051e-05
2.484502062999999872e+00,5.143693935343066580e-05
2.486110154999999988e+00,5.159991066870069163e-05
2.487718246999999661e+00,5.160790145709542149e-05
2.489326339000000221e+00,5.143715332794262997e-05
2.490934431000000338e+00,5.111167094916725017e-05
2.492542523000000010e+00,5.072971069518288816e-05
2.494150615000000126e+00,9.732667728588654220e-04
2.495758706999999799e+00,1.015106751910434951e-03
2.497366798999999915e+00,1.055896356577075770e-03
2.498974891000000031e+00,1.095364451506626287e-03
2.499778162000000137e+00,1.134110019209218440e-03
2.501129393000000256e+00,1.171462992785845354e-03
2.502480623999999931e+00,1.207719144186709774e-03
2.503831855999999689e+00,1.242515441387156234e-03
2.505183086999999809e+00,3.518530544601728696e-04
2.506534319000000011e+00,3.411811300083942124e-04
2.507885550000000130e+00,3.304957352136174030e-04
2.509236781999999888e+00,3.199956272910748798e-04
